# AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
2.764210894941642783e-06,6.318698191805944501e-07,-8.238264980544750591e-06,-8.290164069581141521e-06,-2.441224151979850322e-06,-7.514339528496165452e-07,-7.308467219043259858e-06,-1.046192394598306018e-05,-4.099379116502629491e-06,-5.328340700389105043e-06,-1.899436525520712672e-06,1.299707658503091683e-06,-8.360454718849607609e-09,1.000000000000000000e+00
-7.576528656443114259e-06,-6.007014102388033368e-06,-1.377847769130998775e-05,-1.317749197070267898e-05,-1.516127846646829278e-05,-1.171090262760356547e-05,-2.137730759441519828e-05,-2.558257947356374113e-05,-1.316344807049667824e-05,-2.169562528725108618e-05,-1.430868555275806654e-05,2.325555948729688066e-06,-7.774011538872354734e-06,0.000000000000000000e+00
-1.090669709315632295e-05,-6.477865261310746251e-06,-1.503085735408560416e-05,-1.715445021286335364e-05,-1.886347895628289736e-05,-1.761561371480887490e-05,-3.407753607690547424e-05,-3.465654785839627832e-05,-1.074797998626687666e-05,-2.273468877088578462e-05,-1.822287089951933966e-05,-1.244655399404896587e-06,-8.648906952010374587e-06,0.000000000000000000e+00
-3.573851613641558336e-06,5.942956618600785296e-07,-1.351167271076524266e-05,-1.594977344472419366e-05,-2.102871082169832203e-05,-1.754454251773860879e-05,-3.600951393911649794e-05,-3.262628484016174066e-05,-9.365470492103455391e-06,-1.638229413138017786e-05,-1.244324288853284330e-05,-6.424135866330967447e-06,-6.844148874647131779e-06,0.000000000000000000e+00
3.118859853513397958e-06,6.960766942854966322e-06,-4.831034163424127544e-06,-8.064477788967728297e-06,-1.870504735637444860e-05,-1.694841472190432091e-05,-2.797083267566948889e-05,-2.392875777523460542e-05,-9.576627772945751544e-06,-1.486439329823758382e-05,-3.730814584573126943e-06,1.359670354772260808e-06,-1.814645400167846252e-06,0.000000000000000000e+00
7.615985236896324153e-06,9.727164275577938118e-06,6.682402619974055742e-06,-2.752512932021078432e-07,-7.534709036392760072e-06,-1.522675123369191673e-05,-1.430002260471503613e-05,-4.338058457312885914e-06,2.051290057221333933e-06,-9.319898512245376992e-07,6.824346646829939024e-06,1.299243343099107496e-05,8.369564731822693826e-06,0.000000000000000000e+00
7.349630624856955120e-06,7.585437308308541554e-06,4.868711932555118447e-06,1.008720654612037353e-06,-9.286561899748219052e-06,-1.424045707026779093e-05,-3.406239349965667119e-06,1.034630315556572828e-05,9.015200109864958671e-06,1.352944069581139524e-05,1.072231075303273038e-05,1.524670668802930033e-05,1.066902806897078150e-05,0.000000000000000000e+00
1.068568535133898930e-05,7.608921156633863753e-06,5.362957224383912591e-06,5.177817216754403527e-06,-1.502105739528495521e-05,-1.080438225680933263e-05,8.462718150606544489e-06,1.735535701991302522e-05,1.149344468299382039e-05,1.661678859235522613e-05,1.541187139848935846e-05,1.498416731517509924e-05,1.438542498970016364e-05,0.000000000000000000e+00
1.609518564888991494e-05,1.226459408712901890e-05,1.760682731517509083e-05,1.055311545433737509e-05,-5.604392991531235093e-06,-4.458739661249708657e-06,1.904420070496681244e-05,2.504641545128557023e-05,2.286454960402838169e-05,1.619356691233691465e-05,2.096115779354543315e-05,1.884933030441748975e-05,2.359549328297856494e-05,0.000000000000000000e+00
1.538000144197757826e-05,1.477266908827344566e-05,2.101551608300907575e-05,9.642745795376512304e-06,1.451459914396887936e-05,7.575499565117881307e-06,2.360164769054703536e-05,3.043787418783855929e-05,3.235235985809109787e-05,1.943690997940031886e-05,2.411618908216983393e-05,2.267559857175555191e-05,2.254195430380712950e-05,0.000000000000000000e+00
