AF3,F7,F3,FC5,P7,O1,O2,P8,T8,FC6,F4,F8,AF4,MARKER
2.7642108949416428e-06,6.318698191805946e-07,-8.23826498054475e-06,-8.290164069581142e-06,-2.4412241519798503e-06,-7.514339528496165e-07,-7.308467219043261e-06,-1.046192394598306e-05,-4.099379116502629e-06,-5.328340700389105e-06,-1.8994365255207129e-06,1.2997076585030917e-06,-8.360454718849606e-09,1.0
-7.576528656443113e-06,-6.0070141023880325e-06,-1.3778477691309988e-05,-1.3177491970702677e-05,-1.5161278466468293e-05,-1.1710902627603564e-05,-2.13773075944152e-05,-2.558257947356374e-05,-1.3163448070496678e-05,-2.169562528725109e-05,-1.4308685552758067e-05,2.325555948729688e-06,-7.774011538872353e-06,0.0
-1.0906697093156321e-05,-6.477865261310745e-06,-1.5030857354085604e-05,-1.7154450212863354e-05,-1.8863478956282897e-05,-1.7615613714808875e-05,-3.4077536076905474e-05,-3.465654785839628e-05,-1.0747979986266877e-05,-2.2734688770885785e-05,-1.8222870899519336e-05,-1.2446553994048964e-06,-8.648906952010375e-06,0.0
-3.5738516136415583e-06,5.942956618600785e-07,-1.3511672710765243e-05,-1.5949773444724194e-05,-2.102871082169832e-05,-1.754454251773861e-05,-3.60095139391165e-05,-3.262628484016174e-05,-9.365470492103455e-06,-1.6382294131380174e-05,-1.2443242888532843e-05,-6.424135866330968e-06,-6.844148874647132e-06,0.0
3.1188598535133975e-06,6.960766942854966e-06,-4.831034163424128e-06,-8.064477788967728e-06,-1.870504735637445e-05,-1.694841472190432e-05,-2.797083267566949e-05,-2.3928757775234605e-05,-9.576627772945752e-06,-1.4864393298237584e-05,-3.7308145845731274e-06,1.3596703547722608e-06,-1.8146454001678465e-06,0.0
7.615985236896323e-06,9.727164275577938e-06,6.682402619974056e-06,-2.7525129320210784e-07,-7.53470903639276e-06,-1.5226751233691917e-05,-1.4300022604715036e-05,-4.338058457312886e-06,2.0512900572213335e-06,-9.319898512245378e-07,6.824346646829939e-06,1.2992433430991073e-05,8.369564731822694e-06,0.0
7.349630624856955e-06,7.585437308308541e-06,4.8687119325551184e-06,1.0087206546120371e-06,-9.28656189974822e-06,-1.424045707026779e-05,-3.406239349965667e-06,1.0346303155565728e-05,9.015200109864959e-06,1.3529440695811395e-05,1.072231075303273e-05,1.52467066880293e-05,1.066902806897078e-05,0.0
1.0685685351338988e-05,7.608921156633862e-06,5.362957224383913e-06,5.177817216754404e-06,-1.5021057395284955e-05,-1.0804382256809333e-05,8.462718150606544e-06,1.7355357019913025e-05,1.149344468299382e-05,1.6616788592355226e-05,1.541187139848936e-05,1.49841673151751e-05,1.4385424989700164e-05,0.0
1.6095185648889915e-05,1.2264594087129017e-05,1.760682731517509e-05,1.0553115454337377e-05,-5.604392991531235e-06,-4.458739661249709e-06,1.904420070496681e-05,2.5046415451285567e-05,2.286454960402838e-05,1.6193566912336915e-05,2.0961157793545437e-05,1.8849330304417486e-05,2.3595493282978565e-05,0.0
1.5380001441977578e-05,1.4772669088273444e-05,2.1015516083009076e-05,9.642745795376512e-06,1.451459914396888e-05,7.575499565117881e-06,2.3601647690547035e-05,3.043787418783856e-05,3.23523598580911e-05,1.943690997940032e-05,2.4116189082169837e-05,2.2675598571755552e-05,2.254195430380713e-05,0.0
8.900667978942558e-06,8.179578670939197e-06,9.262975382619969e-06,5.7252589379720724e-06,2.61420217349508e-05,1.8020064669260703e-05,2.14446296177615e-05,2.787208795300221e-05,1.966865562371252e-05,2.0770329567406727e-05,2.035610552071412e-05,1.624824577706569e-05,1.1317947005416956e-05,0.0
-2.455456557564652e-06,-2.1145662424658543e-06,-1.1949050843060993e-06,2.8340346944380843e-06,2.211931593957428e-05,1.631870723735409e-05,1.214602935225452e-05,1.796648351415274e-05,1.559065314717329e-06,1.2653154781414506e-05,5.700214676127261e-06,2.7290886884870697e-06,5.413120561532036e-07,0.0
-7.520608903639267e-06,-3.6245665674826446e-08,1.3608825162127072e-06,6.5334598077363204e-06,1.9868494589150844e-05,1.3764495440604264e-05,8.422915120164796e-06,1.0149419620050355e-05,-2.5784759990844566e-06,3.19577800869764e-06,-3.3252835706111225e-06,-4.336785790798808e-06,-4.610340865186538e-06,0.0
-1.872713870450896e-06,7.662934007782105e-06,4.32489631647211e-06,1.2912147049668113e-05,2.974588536964981e-05,2.2517856140993367e-05,1.2485885996795603e-05,8.569626131075e-06,-2.5642086152437604e-06,3.878087319752802e-06,-1.9854091004806582e-06,-6.9459733852140075e-06,-2.472725545128554e-06,0.0
-5.425089745937278e-06,-5.540645212481845e-07,-8.62024806744488e-06,6.359620375371936e-06,2.182248432135501e-05,1.9782340270084693e-05,5.388533211261156e-07,-3.4402695353627826e-06,-1.0426963849851225e-05,-1.5790306889448402e-06,-8.480393820096129e-06,-1.515762154726482e-05,-6.163165708400089e-06,0.0
-1.5202217051956963e-05,-9.243088401617453e-06,-1.526267151750973e-05,-4.7310304280155676e-06,-5.728224586861975e-06,-3.927154955366774e-08,-1.7943530775921262e-05,-1.9841455577935452e-05,-2.0598181789883265e-05,-1.4135963675898372e-05,-1.4889405964751655e-05,-1.7703605218585486e-05,-1.2195821515220872e-05,0.0
-9.443954085603107e-06,-1.5544764599069162e-06,-2.205264928664076e-06,-3.010934991989015e-06,-1.0517593641565568e-05,-5.40152084687571e-06,-1.3490184023804072e-05,-1.3410451773861295e-05,-1.5145187685969329e-05,-1.0446338773174638e-05,-6.397586532387273e-06,-1.4661713842984661e-05,-7.1663180407415855e-06,0.0
